time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1/1/2020,28.6,22,35,,,47,10.4,,1014,
1/2/2020,28.9,23,35,,,70,9.8,,1014.2,
1/3/2020,28.6,24,34,,,38,7.2,,1013.1,
1/4/2020,27.4,24,33,,,43,6.6,,1011.4,
1/5/2020,27.3,23,33,,,12,6.7,,1011.5,
1/6/2020,28.6,23,34,,,54,7.1,,1011.6,
1/7/2020,29.4,24,35,,,98,7.9,,1010.6,
1/8/2020,28.6,25,35,,,85,8.4,,1010.3,
1/9/2020,28.7,24,35,,,104,8.6,,1009.2,
1/10/2020,28.9,24,34,,,72,8.9,,1008.9,
1/11/2020,27.9,24,32,,,250,8,,1009.3,
1/12/2020,27,24,32,,,215,6.7,,1009.4,
1/13/2020,27.7,23,34,,,66,9.8,,1009.3,
1/14/2020,26.9,22,34,,,41,9.8,,1010.5,
1/15/2020,27.9,22,34,,,90,9.4,,1010.9,
1/16/2020,28.4,23,34,,,75,7.9,,1011,
1/17/2020,27.9,24,34,,,93,8.4,,1011.7,
1/18/2020,27.2,24,32,,,64,9,,1011.3,
1/19/2020,27.8,23,34,,,78,9.3,,1011.8,
1/20/2020,28.9,23,34,,,114,8.5,,1012.4,
1/21/2020,29.4,25,35,,,89,9.8,,1013.6,
1/22/2020,29,24,34,,,124,10.1,,1012.7,
1/23/2020,28.7,25,34,,,123,13,,1011.6,
1/24/2020,28.5,23,35,,,119,12.4,,1011.5,
1/25/2020,28.2,25,33,,,139,13.5,,1010.3,
1/26/2020,27.9,24,33,,,139,10.9,,1010,
1/27/2020,27.2,25,32,,,143,14.1,,1010,
1/28/2020,27.1,24,32,,,142,11.9,,1010.5,
1/29/2020,27.6,24,33,,,137,11.1,,1011.9,
1/30/2020,27.4,24,33,,,95,8.7,,1011.1,
1/31/2020,27.1,23,31,,,110,8.1,,1011.9,
2/1/2020,26.9,24,32,,,89,8.7,,1012.4,
2/2/2020,26.4,22,32,,,76,8.4,,1013.7,
2/3/2020,27.3,21,33,,,100,9.3,,1012.8,
2/4/2020,27.7,22,35,,,102,11.7,,1011.5,
2/5/2020,27.4,22,34,,,98,10.1,,1011.2,
2/6/2020,27.3,22,32,,,111,9.5,,1012.4,
2/7/2020,27.6,23,35,,,105,11,,1012.5,
2/8/2020,28.7,22,35,,,50,7.3,,1012.4,
2/9/2020,28.1,25,32,,,35,9.5,,1012.3,
2/10/2020,28.2,23,33,,,11,7.8,,1012.4,
2/11/2020,29.7,23,35,,,103,13.1,,1012.8,
2/12/2020,29.4,26,35,,,122,16.4,,1012.5,
2/13/2020,28.8,26,35,,,138,14.7,,1011.4,
2/14/2020,27.8,25,32,,,154,12.3,,1010.3,
2/15/2020,28.4,25,32,,,155,12,,1011,
2/16/2020,29.1,24,35,,,155,9,,1012,
2/17/2020,28.3,24,36,,,100,12.1,,1012.8,
2/18/2020,28.1,25,33,,,86,6.9,,1013,
2/19/2020,27.8,22,35,,,77,8,,1013.2,
2/20/2020,28.6,23,34,,,5,6.8,,1013,
2/21/2020,28.7,23,35,,,42,10.4,,1014.1,
2/22/2020,28.6,22,35,,,54,10.9,,1014.6,
2/23/2020,27.9,23,35,,,64,12.9,,1013.7,
2/24/2020,28.3,22,35,,,74,7.5,,1012.1,
2/25/2020,28.9,23,34,,,96,8.7,,1010.7,
2/26/2020,29.1,24,36,,,104,12.6,,1010.9,
2/27/2020,28.9,24,35,,,116,12.7,,1010.2,
2/28/2020,28.7,23,35,,,102,9.9,,1009.9,
2/29/2020,29.1,25,34,,,120,11.7,,1009.4,
3/1/2020,29.5,26,35,,,127,12.2,,1009.7,
3/2/2020,29.7,26,36,,,132,14.7,,1009.6,
3/3/2020,29.2,26,35,,,114,12.1,,1009.9,
3/4/2020,28.9,26,34,,,133,12.8,,1010,
3/5/2020,29.1,26,34,,,137,14.8,,1010.7,
3/6/2020,28.6,26,34,,,132,13.7,,1012,
3/7/2020,28.7,26,35,,,146,11.1,,1011.5,
3/8/2020,29.7,26,35,,,192,9.4,,1009.4,
3/9/2020,29.6,27,35,,,187,10.9,,1007.8,
3/10/2020,29.9,27,35,,,167,10.8,,1008.3,
3/11/2020,29,27,33,,,147,13.5,,1010.6,
3/12/2020,30.2,26,36,,,137,14.6,,1011.3,
3/13/2020,29.2,26,34,,,151,13.1,,1011.6,
3/14/2020,28.3,27,34,,,142,14.8,,1010.8,
